CC,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,RBS,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,CC,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,RBS,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Character_Flooding,Emoticon_Count,Hashtag_Frequency,Hashtag_to_word_ratio,Punctuation,Punctutation_Flooding,Tweet_length,Frequency_of_NER,NER_Count,NER_Presence,Tense_Clash,CC,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,POS,PRP,PRP$,RB,RBR,RBS,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.23,1,0,98,0.030612244897959183,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2,2,1,0,1,1,0,2,0,0,0,1,1,0,2,1,1,1,0,0,0,1,0,0,0,0,3,4,1,0,1,1,0,2,0,0,0,1,1,0,2,1,1,1,0,0,0,0,0,1,0.05,1,0,132,0.030303030303030307,4,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0
0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0,59,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,35,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0
0,2,0,0,1,2,2,0,0,0,1,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,3,0,0,1,4,2,0,0,0,1,0,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0.04,1,0,132,0.007575757575757577,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,55,0.01818181818181818,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,0,2,1,0,1,0,1,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,1,1,1,0,0,3,1,0,1,0,1,0,2,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0.05,0,0,114,0.008771929824561403,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1,0,59,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,1,2,1,0,1,0,2,1,1,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,1,3,1,0,1,0,2,1,1,0,0,0,3,1,0,0,2,1,0,1,0,0,0,0,0,0.0,1,0,107,0.0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0
0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1,0,63,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
0,2,0,0,0,2,2,0,0,0,2,1,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,3,0,0,0,6,3,0,0,0,2,1,2,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0.04,1,0,136,0.014705882352941175,2,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
2,0,0,0,0,2,2,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,3,3,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0.06,1,0,115,0.026086956521739132,3,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,2,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0.0,1,0,76,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
2,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,5,1,0,0,1,1,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0.0,1,0,127,0.007874015748031496,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0.1,1,0,55,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
0,2,0,0,1,2,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,1,2,0,0,1,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0.08,1,0,82,0.0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,1,0,1,2,2,0,2,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,3,3,0,2,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.04,0,0,136,0.02205882352941177,3,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
0,2,0,0,0,2,1,0,2,0,2,2,2,0,0,0,0,2,1,1,2,0,0,0,0,1,0,2,0,0,0,3,1,0,2,0,3,2,2,0,0,0,0,2,1,1,2,0,0,0,0,1,0,0,4,0.16,1,0,133,0.0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.08,1,0,81,0.0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2,0,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,2,1,0,0,0,0,0,0,1,2,0,0,0,0,5,2,0,0,0,3,1,0,0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0.05,1,1,116,0.008620689655172414,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
0,1,0,0,0,2,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.07,1,0,92,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,0,1,2,2,0,1,0,2,1,2,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,1,5,2,0,1,0,3,1,2,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,134,0.00746268656716418,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.12,1,0,43,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0.36,1,0,122,0.049180327868852465,6,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,2,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0.1,1,0,78,0.0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,3,3,0,0,0,2,0,2,0,0,0,2,0,1,1,1,1,0,0,0,0,0,0,3,0.14,1,0,130,0.015384615384615384,2,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
0,2,0,0,1,2,2,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,1,5,2,0,0,0,3,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,4,0.29,1,0,130,0.015384615384615384,2,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,1,0,60,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,2,0,0,0,2,2,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,2,0,0,0,5,2,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0.08,1,0,136,0.0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,0,0,1,2,2,0,0,0,2,1,0,0,0,0,2,0,0,1,2,0,1,0,0,0,1,0,0,0,1,7,2,0,0,0,2,1,0,0,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0.0,1,0,128,0.0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1,2,0,0,1,2,2,0,0,0,0,1,2,0,0,0,2,1,0,1,2,0,0,0,0,0,1,4,0,0,1,6,2,0,0,0,0,1,2,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,0.05,1,0,123,0.0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.11,0,0,48,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0.0,0,0,59,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
0,0,0,0,0,2,2,0,2,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,4,2,0,3,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1,0,0.0,1,0,123,0.008130081300813009,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,2,0,0,0,2,2,0,1,0,2,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,3,2,0,1,0,2,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0.14,1,0,135,0.007407407407407408,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,2,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,2,0,0,0,5,4,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,8,0.38,1,0,132,0.030303030303030307,4,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0.29,1,0,125,0.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,1,1,0,0,2,0,1,0,1,0,0,0,2,1,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,3,0,1,0,1,0,0,0,3,1,0,0,1,0,0,2,0,0,0,0,0,0.0,1,0,118,0.0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.11,1,0,51,0.0196078431372549,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,1,1,2,0,0,0,2,0,1,0,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,0,0,0,2,0,1,0,2,1,0,1,0,0,0,0,2,0.11,0,0,90,0.011111111111111113,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0
0,0,0,0,0,2,2,0,0,0,1,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,3,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,2,0.17,1,0,92,0.010869565217391304,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,1,0,0,1,1,2,0,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,0,0,1,1,17,0,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,2,0.07,1,0,134,0.037313432835820885,5,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.15,1,0,104,0.038461538461538464,4,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,0,0,0,2,0,0,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,3,0.17,1,0,99,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,2,2,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,4,0.36,1,0,106,0.02830188679245283,3,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.33,0,0,13,0.07692307692307693,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,5,0.33,1,0,132,0.0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.12,1,0,111,0.027027027027027032,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,4,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,87,0.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.0,1,0,57,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
0,2,0,0,1,2,0,0,0,0,2,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,3,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,4,0.19,0,0,109,0.0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,3,0,0,0,1,1,5,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,2,0.14,1,1,88,0.0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
0,2,1,0,0,2,0,0,0,0,0,1,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,0,1,3,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0.05,0,0,99,0.0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,111,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0.18,1,0,82,0.012195121951219513,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,2,0,1,0,2,1,0,2,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,4,0,1,0,2,1,0,3,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,4,0.21,1,0,130,0.007692307692307694,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,3,1,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,1,0,115,0.008695652173913044,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
2,1,0,0,0,2,1,0,2,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,3,1,0,2,0,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0.11,0,0,110,0.00909090909090909,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,2,1,0,1,2,2,0,2,0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,0,1,3,2,0,2,0,2,1,3,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0.05,1,0,124,0.008064516129032258,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1,2,0,0,0,2,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,2,0,0,0,1,1,2,0,0,0,5,0,0,0,0,1,3,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0,0.0,1,0,105,0.0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
2,1,0,0,0,2,2,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,0,0,0,2,1,0,0,0,4,5,0,0,0,1,0,3,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,3,0.11,1,0,138,0.007246376811594203,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
0,1,0,0,0,2,2,0,1,1,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,1,1,1,1,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,99,0.020202020202020204,2,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
1,2,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.11,1,0,113,0.0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2,0,0,0,2,0,0,1,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,6,0,0,1,0,1,1,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0.1,1,0,128,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.07,1,0,81,0.02469135802469136,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
1,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,10,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.08,1,0,130,0.007692307692307694,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,2,1,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,2,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,100,0.0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,2,0,0,0,1,0,0,1,0,2,0,2,0,0,0,1,0,1,0,2,1,0,0,0,2,0,5,0,0,0,1,0,0,1,0,2,0,2,0,0,0,1,0,1,0,3,1,0,0,0,3,0,0,3,0.12,1,0,138,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1
