1,2,3,4,5,6,7,8
0,0,1,0.05,1,0,122,0
0,0,2,0.15,1,0,74,2
0,0,1,0.25,1,0,29,0
0,0,0,0,1,0,52,0
0,0,6,0.29,1,0,125,1
0,0,0,0,0,0,36,0
0,0,2,0.08,1,0,137,3
0,0,0,0,1,0,52,0
0,1,0,0,1,0,96,0
0,0,2,0.1,1,0,121,1
0,0,0,0,1,0,58,0
0,0,2,0.33,1,0,51,0
0,0,2,0.15,1,1,92,1
0,0,0,0,1,0,64,0
0,0,0,0,1,0,108,0
0,0,0,0,1,0,52,0
0,0,0,0,1,0,93,0
0,0,15,0.83,1,0,144,0
0,0,0,0,1,0,138,0
0,0,1,0.08,1,0,76,3
0,0,2,0.33,0,0,51,1
0,0,4,0.17,1,0,140,2
0,0,1,0.08,1,0,64,1
0,0,3,0.12,1,0,134,3
0,0,0,0,1,0,36,0
0,0,1,0.12,1,0,49,3
0,0,1,0.08,1,0,64,3
0,0,2,0.17,0,0,94,1
0,0,0,0,1,0,83,0
0,0,0,0,1,0,58,0
0,0,2,0.33,1,1,56,0
0,0,2,0.17,1,0,68,2
0,0,0,0,1,0,50,0
0,0,2,0.22,1,0,68,0
0,0,1,0.06,1,0,107,0
0,0,4,0.2,1,0,138,0
0,0,2,0.14,1,0,95,0
0,1,0,0,1,0,73,0
0,0,3,0.16,0,0,105,1
0,0,2,0.14,1,0,88,1
0,0,2,0.2,1,0,59,2
0,0,1,0.03,1,0,137,1
0,0,1,0.08,0,0,74,1
0,0,2,0.1,1,0,94,0
0,2,2,0.14,1,0,99,1
0,0,0,0,1,0,44,0
0,0,1,0.06,1,0,87,1
0,0,1,0.04,1,0,129,2
0,0,0,0,1,0,105,0
0,0,1,0.06,1,0,92,0
0,0,1,0.07,0,0,89,2
0,0,0,0,1,0,106,0
0,0,0,0,0,0,55,0
0,0,2,0.22,0,0,40,1
0,0,1,0.04,1,0,137,0
0,0,1,0.05,1,0,127,0
0,1,1,0.11,1,0,78,0
0,0,2,0.1,1,0,134,1
0,0,1,0.04,1,0,140,0
0,0,2,0.25,1,0,69,0
0,0,0,0,1,0,113,0
0,0,1,0.12,1,0,49,1
0,0,1,0.05,0,0,106,2
0,0,1,0.05,1,0,100,1
0,2,1,0.2,1,0,76,1
0,0,1,0.05,1,0,120,2
0,0,1,0.17,1,0,54,3
0,0,1,0.07,1,0,73,3
0,0,3,0.15,1,0,140,0
0,1,0,0,1,0,102,0
0,0,0,0,1,0,123,0
0,0,0,0,1,0,69,0
0,0,1,0.05,0,0,137,3
0,1,0,0,1,0,134,0
0,0,4,0.25,1,0,117,0
0,0,2,0.13,0,0,101,3
0,0,6,0.46,1,0,118,0
0,0,2,0.11,1,0,118,0
0,0,8,0.67,1,0,107,0
0,0,5,0.62,1,0,86,0
0,0,0,0,1,0,63,0
0,0,9,0.75,1,0,128,0
0,0,14,0.82,1,0,113,0
0,0,2,0.29,1,0,49,3
0,0,1,0.05,1,0,112,3
0,0,8,0.62,1,0,96,0
0,0,2,0.1,1,0,138,1
0,0,2,0.13,1,0,115,2
0,0,0,0,1,0,50,0
0,0,4,0.24,1,0,116,3
0,0,0,0,1,0,93,0
0,0,1,0.05,1,0,123,1
0,0,0,0,1,0,106,0
0,0,1,0.04,1,0,127,1
0,0,1,0.04,1,0,131,3
0,0,0,0,1,0,104,0
0,1,0,0,1,0,113,0
0,2,0,0,1,0,79,0
0,0,3,0.3,1,0,81,0
0,0,3,0.14,1,0,132,0
0,0,1,0.05,1,0,103,2
0,0,2,0.18,1,0,73,0
0,0,0,0,1,0,83,0
0,0,0,0,0,0,138,0
0,0,1,0.07,1,0,89,0
0,3,1,0.05,1,1,156,1
0,0,2,0.12,1,0,113,1
0,0,13,0.81,1,0,96,0
0,0,0,0,1,0,82,0
0,0,4,0.22,1,0,121,0
0,0,0,0,1,0,74,0
0,0,0,0,1,0,87,0
0,0,4,0.29,1,0,98,0
0,0,0,0,1,0,40,0
0,0,2,0.1,1,0,135,2
0,0,1,0.05,1,0,99,3
0,0,1,0.06,1,0,99,0
0,0,1,0.11,1,0,56,0
0,0,0,0,1,0,37,0
0,0,4,0.29,1,1,104,2
0,0,1,0.06,1,0,109,0
0,0,2,0.4,0,0,46,1
0,0,1,0.08,0,0,72,1
0,0,0,0,1,0,114,0
0,0,10,0.42,1,0,137,0
0,0,1,0.11,0,0,43,1
0,0,1,0.05,0,0,113,2
0,0,1,0.08,1,0,80,0
0,0,2,0.09,1,0,127,0
0,0,7,0.78,1,0,121,0
0,0,2,0.08,1,0,128,2
0,0,2,0.08,1,0,135,0
0,0,1,0.14,0,0,36,1
0,0,1,0.05,1,0,131,0
0,1,0,0,1,0,61,0
0,0,2,0.11,1,0,127,1
0,0,1,0.08,1,0,104,0
0,0,1,0.2,0,0,26,0
0,0,1,0.05,1,0,132,2
0,0,3,0.16,1,0,139,3
0,0,0,0,1,0,71,0
0,0,0,0,1,0,86,0
0,0,2,0.12,1,0,87,2
0,0,1,0.05,1,0,109,0
0,0,0,0,1,0,76,0
0,0,2,0.1,1,0,134,2
0,0,1,0.05,1,0,135,3
0,0,13,0.81,1,0,108,0
0,0,1,0.11,0,0,46,0
0,0,2,0.15,1,0,99,0
0,0,2,0.17,1,0,77,2
0,0,2,0.12,0,0,110,0
0,0,2,0.08,1,0,139,0
0,0,0,0,1,0,49,0
0,0,0,0,1,0,47,0
0,0,3,0.18,1,0,117,3
0,0,1,0.06,0,0,83,1
0,0,1,0.08,1,0,104,0
0,0,3,0.21,1,0,84,3
0,1,4,0.4,1,0,83,0
0,0,2,0.08,1,0,142,1
0,0,0,0,1,0,63,0
0,1,9,0.64,1,0,140,0
0,1,1,0.2,1,0,61,1
0,4,3,0.43,1,0,103,1
0,0,1,0.08,1,0,89,2
0,0,3,0.18,1,0,120,0
0,0,2,0.09,1,0,130,1
0,3,1,0.06,1,0,170,3
0,0,0,0,1,0,122,0
0,1,1,0.12,1,0,52,0
0,0,1,0.14,0,0,31,1
0,0,1,0.07,1,0,88,2
0,0,1,0.08,1,0,79,1
0,0,2,0.29,1,0,46,1
0,0,0,0,1,0,54,0
0,0,0,0,1,0,51,0
0,1,1,0.12,1,0,56,1
0,0,0,0,1,0,40,0
0,1,0,0,1,0,106,0
0,0,1,0.06,1,0,97,3
0,0,4,0.2,1,0,124,1
0,0,11,0.58,1,1,131,0
0,0,5,0.36,1,0,91,0
0,0,2,0.25,1,1,79,0
0,0,0,0,0,0,26,0
0,0,0,0,1,0,48,0
0,0,1,0.08,1,0,119,2
0,0,1,0.05,1,0,129,1
0,1,1,0.06,1,0,119,0
0,0,2,0.13,1,0,82,1
0,0,0,0,1,0,62,0
0,0,3,0.13,1,0,122,2
0,0,1,0.06,1,0,126,3
0,0,1,0.14,1,0,40,0
0,0,2,0.33,1,0,57,0
0,0,3,0.14,1,0,135,1
0,0,1,0.08,0,0,70,0
0,1,3,0.14,1,0,164,3
0,0,3,0.2,0,0,77,1
0,0,7,0.37,1,0,117,0
0,1,1,0.06,1,0,123,0
0,4,8,0.33,1,0,208,0
0,1,1,0.09,1,0,68,1
0,0,0,0,1,0,80,0
0,0,1,0.06,1,0,78,0
0,0,1,0.06,1,0,101,0
0,0,1,0.07,0,0,78,1
0,1,0,0,1,0,137,0
0,0,0,0,1,0,66,0
0,0,0,0,1,0,34,0
0,0,0,0,0,0,39,0
0,1,0,0,1,0,120,0
0,0,0,0,1,0,111,0
0,0,2,0.18,1,0,69,2
0,0,1,0.08,1,1,81,0
0,0,2,0.15,1,0,83,0
0,0,1,0.05,1,0,132,0
0,1,1,0.05,1,0,106,1
0,0,3,0.21,1,0,94,3
0,0,0,0,0,0,38,0
0,0,1,0.06,1,1,93,0
0,0,1,0.05,1,0,114,3
0,0,0,0,0,0,28,0
0,5,8,0.44,1,0,226,0
0,9,1,0.05,1,0,291,0
0,0,0,0,1,1,61,0
0,0,2,0.17,1,0,94,1
0,0,2,0.12,1,0,90,1
0,0,11,0.65,1,0,113,0
0,0,0,0,1,0,137,0
0,0,12,0.71,0,0,95,1
0,0,1,0.07,1,0,86,3
0,1,1,0.17,1,0,43,1
0,0,0,0,0,0,51,0
0,0,7,0.39,0,0,135,0
0,0,10,0.67,1,0,89,0
0,0,0,0,1,0,87,0
0,0,0,0,1,0,79,0
0,0,1,0.09,0,0,64,2
0,0,0,0,1,0,132,0
0,0,3,0.17,1,0,108,0
0,4,6,0.33,1,1,216,0
0,0,1,0.05,1,0,132,0
0,0,2,0.11,1,0,111,2
0,0,1,0.06,1,0,126,3
0,0,3,0.18,1,0,111,2
0,0,1,0.06,1,0,113,3
0,0,7,0.58,1,0,129,0
0,2,0,0,1,0,99,0
0,0,0,0,1,0,94,0
0,0,0,0,1,0,63,0
0,0,6,0.43,1,0,122,0
0,0,1,0.12,0,0,39,1
0,0,3,0.27,1,0,90,0
0,0,0,0,0,0,102,0
0,1,0,0,1,0,54,0
0,0,1,0.2,1,0,47,0
0,0,10,0.48,1,0,140,0
0,4,1,0.05,1,0,179,1
0,0,3,0.17,1,1,116,0
