Frequency_of_NER	NER_Count	NER_Presence	TenseClash
0.00819672131147541	1	1	1
0.014925373134328358	1	1	0
0.041666666666666664	1	1	0
0.0	0	0	0
0.0	0	0	0
0.027777777777777776	1	1	0
0.0078125	1	1	1
0.019230769230769232	1	1	0
0.020833333333333332	2	1	0
0.0	0	0	0
0.0	0	0	1
0.0196078431372549	1	1	0
0.0	0	0	0
0.015625	1	1	0
0.018518518518518517	2	1	1
0.0	0	0	0
0.010752688172043012	1	1	1
0.02158273381294964	3	1	1
0.021739130434782608	3	1	1
0.014925373134328358	1	1	1
0.046511627906976744	2	1	0
0.007518796992481203	1	1	0
0.0	0	0	0
0.007874015748031496	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.011764705882352941	1	1	0
0.0	0	0	0
0.017241379310344827	1	1	0
0.017857142857142856	1	1	0
0.0	0	0	0
0.0	0	0	0
0.014705882352941176	1	1	0
0.009345794392523364	1	1	0
0.014492753623188406	2	1	0
0.031578947368421054	3	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.019230769230769232	1	1	0
0.0	0	0	1
0.0	0	0	0
0.02127659574468085	2	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.009523809523809525	1	1	0
0.0	0	0	0
0.036585365853658534	3	1	1
0.009433962264150943	1	1	0
0.0	0	0	1
0.0	0	0	0
0.007518796992481203	1	1	1
0.007874015748031496	1	1	0
0.01282051282051282	1	1	0
0.008	1	1	1
0.022058823529411766	3	1	0
0.028985507246376812	2	1	0
0.017699115044247787	2	1	0
0.022727272727272728	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.008849557522123894	1	1	0
0.02040816326530612	1	1	0
0.0	0	0	0
0.02857142857142857	4	1	1
0.00980392156862745	1	1	0
0.032520325203252036	4	1	0
0.028985507246376812	2	1	0
0.0	0	0	0
0.007462686567164179	1	1	1
0.0	0	0	1
0.0	0	0	0
0.00847457627118644	1	1	0
0.00847457627118644	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.008130081300813009	1	1	0
0.027777777777777776	3	1	0
0.023809523809523808	1	1	0
0.019417475728155338	2	1	0
0.02197802197802198	2	1	0
0.0	0	0	1
0.018518518518518517	2	1	0
0.02	1	1	1
0.01834862385321101	2	1	0
0.010752688172043012	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.01639344262295082	2	1	1
0.0	0	0	0
0.008849557522123894	1	1	1
0.0	0	0	0
0.02702702702702703	2	1	0
0.0	0	0	1
0.0	0	0	1
0.0136986301369863	1	1	0
0.0	0	0	0
0.007246376811594203	1	1	1
0.02247191011235955	2	1	0
0.0	0	0	1
0.0	0	0	0
0.01098901098901099	1	1	0
0.0	0	0	1
0.026785714285714284	3	1	0
0.0	0	0	1
0.0	0	0	1
0.011363636363636364	1	1	0
0.0	0	0	0
0.015625	2	1	1
0.011111111111111112	1	1	1
0.0	0	0	0
0.0	0	0	0
0.02702702702702703	1	1	0
0.030927835051546393	3	1	0
0.009615384615384616	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.007575757575757576	1	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.008333333333333333	1	1	0
0.008547008547008548	1	1	1
0.008264462809917356	1	1	1
0.007407407407407408	1	1	0
0.0	0	0	1
0.0	0	0	0
0.01639344262295082	1	1	0
0.0	0	0	1
0.009615384615384616	1	1	0
0.0	0	0	0
0.008	1	1	1
0.007462686567164179	1	1	0
0.04225352112676056	3	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.02631578947368421	2	1	0
0.0	0	0	0
0.007692307692307693	1	1	1
0.0	0	0	0
0.021739130434782608	1	1	0
0.030303030303030304	3	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.02040816326530612	1	1	0
0.0	0	0	0
0.018518518518518517	2	1	1
0.0	0	0	1
